Scan,Element,On Action,DO OFF Command,DO MESSAGE Command,DO WRITE Command,DO INSERT Command,DO CALC Command,DO LOG Command,DO CLEAR Command,DO MESSAGE,I/L Statement,CCS Message
IB,60,IB 277 MUX RAW > REFERENCE+100 OR IB 277 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 69092 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69092: CE-160 PS 688 +ve Voltage  changed by > 100 (IB 277 MUX),N/A,N/A
IB,61,IB 300 MUX RAW > REFERENCE+100 OR IB 300 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 69096 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69096: CT-161 PS 690 +ve Voltage  changed by > 100 (IB 300 MUX),N/A,N/A
IB,62,IB 301 MUX RAW > REFERENCE+328 OR IB 301 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69100 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69100: BN4 CPcom CW168 CB169 +ve Voltage  changed by > 328 (IB 301 MUX),N/A,N/A
IB,63,IB 302 MUX RAW > REFERENCE+328 OR IB 302 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69104 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69104: CE-168 +ve Voltage  changed by > 328 (IB 302 MUX),N/A,N/A
IB,64,IB 303 MUX RAW > REFERENCE+328 OR IB 303 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69108 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69108: CT-169 +ve Voltage  changed by > 328 (IB 303 MUX),N/A,N/A
IB,65,IB 304 MUXR RAW > REFERENCE+655 OR IB 304 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69112 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69112: Q-170 Defocus +ve Current  changed by > 655 (IB 304 MUXR),N/A,N/A
IB,66,IB 305 MUXR RAW > REFERENCE+655 OR IB 305 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69116 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69116: Q-171 Q-176 Focus +ve Current  changed by > 655 (IB 305 MUXR),N/A,N/A
IB,67,IB 306 MUX RAW > REFERENCE+328 OR IB 306 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69120 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69120: Bend 3 +ve Voltage  changed by > 328 (IB 306 MUX),N/A,N/A
IB,68,IB 306 MUXR RAW > REFERENCE+328 OR IB 306 MUXR RAW < REFERENCE-328,N/A,DO MESSAGE 69121 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69121: Bend 3 +ve Current  changed by > 328 (IB 306 MUXR),N/A,N/A
IB,69,IB 307 MUX RAW > REFERENCE+328 OR IB 307 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69124 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69124: Bend 3 & 4 -ve Voltage  changed by > 328 (IB 307 MUX),N/A,N/A
IB,70,IB 307 MUXR RAW > REFERENCE+328 OR IB 307 MUXR RAW < REFERENCE-328,N/A,DO MESSAGE 69125 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69125: Bend 3 & 4 -ve Current  changed by > 328 (IB 307 MUXR),N/A,N/A
IB,71,IB 310 MUXR RAW > REFERENCE+655 OR IB 310 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69128 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69128: Q-172 Q-175 Defocus +ve Current  changed by > 655 (IB 310 MUXR),N/A,N/A
IB,72,IB 311 MUXR RAW > REFERENCE+655 OR IB 311 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69132 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69132: Q-173 Q-174 Focus +ve Current  changed by > 655 (IB 311 MUXR),N/A,N/A
IB,73,IB 312 MUXL RAW > REFERENCE+655 OR IB 312 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69136 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69136: VIB:Q2 +ve Current  changed by > 655 (IB 312 MUXL),N/A,N/A
IB,74,IB 312 MUXR RAW > REFERENCE+655 OR IB 312 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69137 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69137: VIB:Q2 -ve Current  changed by > 655 (IB 312 MUXR),N/A,N/A
IB,75,IB 312 MUXT RAW > REFERENCE+328 OR IB 312 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69138 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69138: VIB:Q2 +ve Voltage  changed by > 328 (IB 312 MUXT),N/A,N/A
IB,76,IB 312 MUXB RAW > REFERENCE+328 OR IB 312 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69139 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69139: VIB:Q2 -ve Voltage  changed by > 328 (IB 312 MUXB),N/A,N/A
IB,77,IB 313 MUXL RAW > REFERENCE+655 OR IB 313 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69140 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69140: VIB:Q3 +ve Current  changed by > 655 (IB 313 MUXL),N/A,N/A
IB,78,IB 313 MUXR RAW > REFERENCE+655 OR IB 313 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69141 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69141: VIB:Q3 -ve Current  changed by > 655 (IB 313 MUXR),N/A,N/A
IB,79,IB 313 MUXT RAW > REFERENCE+328 OR IB 313 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69142 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69142: VIB:Q3 +ve Voltage  changed by > 328 (IB 313 MUXR),N/A,N/A
IB,80,IB 313 MUXB RAW > REFERENCE+328 OR IB 313 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69143 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69143: VIB:Q3 -ve Voltage  changed by > 328 (IB 313 MUXR),N/A,N/A
IB,81,IB 314 MUXL RAW > REFERENCE+655 OR IB 314 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69144 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69144: VIB:Q4 +ve Current  changed by > 655 (IB 314 MUXL),N/A,N/A
IB,82,IB 314 MUXR RAW > REFERENCE+655 OR IB 314 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69145 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69145: VIB:Q4 -ve Current  changed by > 655 (IB 314 MUXR),N/A,N/A
IB,83,IB 314 MUXT RAW > REFERENCE+328 OR IB 314 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69146 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69146: VIB:Q4 +ve Voltage  changed by > 328 (IB 314 MUXT),N/A,N/A
IB,84,IB 314 MUXB RAW > REFERENCE+328 OR IB 314 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69147 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69147: VIB:Q4 -ve Voltage  changed by > 328 (IB 314 MUXB),N/A,N/A
IB,85,IB 315 MUXL RAW > REFERENCE+655 OR IB 315 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69148 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69148: VIB:Q5 +ve Current  changed by > 655 (IB 315 MUXL),N/A,N/A
IB,86,IB 315 MUXR RAW > REFERENCE+655 OR IB 315 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69149 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69149: VIB:Q5 -ve Current  changed by > 655 (IB 315 MUXR),N/A,N/A
IB,87,IB 315 MUXT RAW > REFERENCE+328 OR IB 315 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69150 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69150: VIB:Q5 +ve Voltage  changed by > 328 (IB 315 MUXT),N/A,N/A
IB,88,IB 315 MUXB RAW > REFERENCE+328OR IB 315 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69151 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69151: VIB:Q5 -ve Voltage  changed by > 328 (IB 315 MUXB),N/A,N/A
IB,89,IB 330 MUXL RAW > REFERENCE+655 OR IB 330 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69188 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69188: VIB:Q20 +ve Current  changed by > 655 (IB 330 MUXL),N/A,N/A
IB,90,IB 330 MUXR RAW > REFERENCE+655 OR IB 330 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69189 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69189: VIB:Q20 -ve Current  changed by > 655 (IB 330 MUXR),N/A,N/A
IB,91,IB 330 MUXT RAW > REFERENCE+328 OR IB 330 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69190 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69190: VIB:Q20 +ve Voltage  changed by > 328 (IB 330 MUXT),N/A,N/A
IB,92,IB 330 MUXB RAW > REFERENCE+328 OR IB 330 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69191 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69191: VIB:Q20 -ve Voltage  changed by > 328 (IB 330 MUXB),N/A,N/A
IB,93,IB 331 MUXL RAW > REFERENCE+655 OR IB 331 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69192 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69192: VIB:Q21 +ve Current  changed by > 655 (IB 331 MUXL),N/A,N/A
IB,94,IB 331 MUXR RAW > REFERENCE+655 OR IB 331 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69193 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69193: VIB:Q21 -ve Current  changed by > 655 (IB 331 MUXR),N/A,N/A
IB,95,IB 331 MUXT RAW > REFERENCE+328 OR IB 331 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69194 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69194: VIB:Q21 +ve Voltage  changed by > 328 (IB 331 MUXT),N/A,N/A
IB,96,IB 331 MUXB RAW > REFERENCE+328 OR IB 331 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69195 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69195: VIB:Q21 -ve Voltage  changed by > 328 (IB 331 MUXB),N/A,N/A
IB,97,IB 333 MUXL RAW > REFERENCE+655 OR IB 333 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69200 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69200: VIB:Q23 +ve Current  changed by > 655 (IB 333 MUXL),N/A,N/A
IB,98,IB 333 MUXR RAW > REFERENCE+655 OR IB 333 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69201 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69201: VIB:Q23 -ve Current  changed by > 655 (IB 333 MUXR),N/A,N/A
IB,99,IB 333 MUXT RAW > REFERENCE+328 OR IB 333 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69202 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69202: VIB:Q23 +ve Voltage  changed by > 328 (IB 333 MUXT),N/A,N/A
IB,100,IB 333 MUXB RAW > REFERENCE+328 OR IB 333 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69203 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69203: VIB:Q23 -ve Voltage  changed by > 328 (IB 333 MUXB),N/A,N/A
IB,101,IB 335 MUXL RAW > REFERENCE+655 OR IB 335 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69208 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69208: VIB:Q25 +ve Current  changed by > 655 (IB 335 MUXL),N/A,N/A
IB,102,IB 335 MUXR RAW > REFERENCE+655 OR IB 335 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69209 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69209: VIB:Q25 -ve Current  changed by > 655 (IB 335 MUXR),N/A,N/A
IB,103,IB 335 MUXT RAW > REFERENCE+328 OR IB 335 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69210 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69210: VIB:Q25 +ve Voltage  changed by > 328 (IB 335 MUXT),N/A,N/A
IB,104,IB 335 MUXB RAW > REFERENCE+328 OR IB 335 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69211 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69211: VIB:Q25 -ve Voltage  changed by > 328 (IB 335 MUXB),N/A,N/A
IB,105,IB 336 MUXL RAW > REFERENCE+655 OR IB 336 MUXL RAW < REFERENCE-655,N/A,DO MESSAGE 69212 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69212: VIB:Q26 +ve Current  changed by > 655 (IB 336 MUXL),N/A,N/A
IB,106,IB 336 MUXR RAW > REFERENCE+655 OR IB 336 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69213 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69213: VIB:Q26 -ve Current  changed by > 655 (IB 336 MUXR),N/A,N/A
IB,107,IB 336 MUXT RAW > REFERENCE+328OR IB 336 MUXT RAW < REFERENCE-328,N/A,DO MESSAGE 69214 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69214: VIB:Q26 +ve Voltage  changed by > 328 (IB 336 MUXT),N/A,N/A
IB,108,IB 336 MUXB RAW > REFERENCE+328 OR IB 336 MUXB RAW < REFERENCE-328,N/A,DO MESSAGE 69215 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69215: VIB:Q26 -ve Voltage  changed by > 328 (IB 336 MUXB),N/A,N/A
IB,109,IB 340 MUXL RAW > REFERENCE+328 OR IB 340 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69220 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69220: VIB:CCB3 +ve Voltage  changed by > 328 (IB 340 MUXL),N/A,N/A
IB,110,IB 340 MUXR RAW > REFERENCE+655 OR IB 340 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69221 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69221: VIB:CCB3 +ve Current  changed by > 655 (IB 340 MUXR),N/A,N/A
IB,111,IB 341 MUXL RAW > REFERENCE+328 OR IB 341 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69224 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69224: VIB:CB3E +ve Voltage  changed by > 328 (IB 341 MUXL),N/A,N/A
IB,112,IB 341 MUXR RAW > REFERENCE+655 OR IB 341 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69225 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69225: VIB:CB3E +ve Current  changed by > 655 (IB 341 MUXR),N/A,N/A
IB,113,IB 342 MUXL RAW > REFERENCE+328 OR IB 342 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69228 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69228: VIB:CB4N +ve Voltage  changed by > 328 (IB 342 MUXL),N/A,N/A
IB,114,IB 342 MUXR RAW > REFERENCE+655 OR IB 342 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69229 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69229: VIB:CB4N +ve Current  changed by > 655 (IB 342 MUXR),N/A,N/A
IB,115,IB 343 MUXL RAW > REFERENCE+328 OR IB 343 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69152 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69152: VIB:CB7E +ve Voltage  changed by > 328 (IB 343 MUXL),N/A,N/A
IB,116,IB 343 MUXR RAW > REFERENCE+655 OR IB 343 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69153 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69153: VIB:CB7E +ve Current  changed by > 655 (IB 343 MUXR),N/A,N/A
IB,117,IB 344 MUXL RAW > REFERENCE+328 OR IB 344 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69232 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69232: VIB:CB8N +ve Voltage  changed by > 328 (IB 344 MUXL),N/A,N/A
IB,118,IB 344 MUXR RAW > REFERENCE+655 OR IB 344 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69233 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69233: VIB:CB8N +ve Current  changed by > 655 (IB 344 MUXR),N/A,N/A
IB,119,IB 345 MUXL RAW > REFERENCE+328 OR IB 345 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69236 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69236: VIB:CB13E +ve Voltage  changed by > 328 (IB 345 MUXL),N/A,N/A
IB,120,IB 345 MUXR RAW > REFERENCE+655 OR IB 345 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69237 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69237: VIB:CB13E +ve Current  changed by > 655 (IB 345 MUXR),N/A,N/A
IB,121,IB 346 MUXL RAW > REFERENCE+328 OR IB 346 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69240 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69240: VIB:CB14N +ve Voltage  changed by > 328 (IB 346 MUXL),N/A,N/A
IB,122,IB 346 MUXR RAW > REFERENCE+655 OR IB 346 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69241 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69241: VIB:CB14N +ve Current  changed by > 655 (IB 346 MUXR),N/A,N/A
IB,123,IB 347 MUXL RAW > REFERENCE+328 OR IB 347 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69244 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69244: VIB:CB17E +ve Voltage  changed by > 328 (IB 347 MUXL),N/A,N/A
IB,124,IB 347 MUXR RAW > REFERENCE+655 OR IB 347 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69245 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69245: VIB:CB17E +ve Current  changed by > 655 (IB 347 MUXR),N/A,N/A
IB,125,IB 348 MUXL RAW > REFERENCE+328 OR IB 348 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69156 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69156: VIB:CB18N +ve Voltage  changed by > 328 (IB 348 MUXL),N/A,N/A
IB,126,IB 348 MUXR RAW > REFERENCE+655 OR IB 348 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69157 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69157: VIB:CB18N +ve Current  changed by > 655 (IB 348 MUXR),N/A,N/A
IB,127,IB 356 MUX RAW > REFERENCE+328 OR IB 356 MUX RAW < REFERENCE-328,N/A,DO MESSAGE 69264 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69264: Bend 4 +ve Voltage  changed by > 328 (IB 356 MUX),N/A,N/A
IB,128,IB 356 MUXR RAW > REFERENCE+328 OR IB 356 MUXR RAW < REFERENCE-328,N/A,DO MESSAGE 69265 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69265: Bend 4 +ve Current  changed by > 328 (IB 356 MUXR),N/A,N/A
IB,129,IB 361 MUXL RAW > REFERENCE+328 OR IB 361 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 75668 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 75668: VIB:CB21E +ve Voltage  changed by > 328 (IB 361 MUXL),N/A,N/A
IB,130,IB 361 MUXR RAW > REFERENCE+655 OR IB 361 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 75669 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 75669: VIB:CB21E +ve Current  changed by > 655 (IB 361 MUXR),N/A,N/A
IB,131,IB 362 MUXL RAW > REFERENCE+328 OR IB 362 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 75672 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 75672: VIB:CB22N +ve Voltage  changed by > 328 (IB 362 MUXL),N/A,N/A
IB,132,IB 362 MUXR RAW > REFERENCE+655 OR IB 362 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 75673 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 75673: VIB:CB22N +ve Current  changed by > 655 (IB 362 MUXR),N/A,N/A
IB,133,IB 363 MUXL RAW > REFERENCE+328 OR IB 363 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69160 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69160: VIB:CB23E +ve Voltage  changed by > 328 (IB 363 MUXL),N/A,N/A
IB,134,IB 363 MUXR RAW > REFERENCE+655 OR IB 363 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69161 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69161: VIB:CB23E +ve Current  changed by > 655 (IB 363 MUXR),N/A,N/A
IB,135,IB 364 MUXL RAW > REFERENCE+328 OR IB 364 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 71240 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 71240: VIB:CB24N +ve Voltage  changed by > 328 (IB 364 MUXL),N/A,N/A
IB,136,IB 364 MUXR RAW > REFERENCE+655 OR IB 364 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 71241 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 71241: VIB:CB24N +ve Current  changed by > 655 (IB 364 MUXR),N/A,N/A
IB,137,IB 366 MUXL RAW > REFERENCE+328 OR IB 366 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69268 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69268: VIB:CB26NW +ve Voltage  changed by > 328 (IB 366 MUXL),N/A,N/A
IB,138,IB 366 MUXR RAW > REFERENCE+655 OR IB 366 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69269 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69269: VIB:CB26NW +ve Current  changed by > 655 (IB 366 MUXR),N/A,N/A
IB,139,IB 367 MUXL RAW > REFERENCE+328 OR IB 367 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69272 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69272: VIB:CB27NE +ve Voltage  changed by > 328 (IB 367 MUXL),N/A,N/A
IB,140,IB 367 MUXR RAW > REFERENCE+655 OR IB 367 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69273 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69273: VIB:CB27NE +ve Current  changed by > 655 (IB 367 MUXR),N/A,N/A
IB,141,IB 370 MUXL RAW > REFERENCE+328 OR IB 370 MUXL RAW < REFERENCE-328,N/A,DO MESSAGE 69276 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69276: VIB:CCB26 +ve Voltage  changed by > 328 (IB 370 MUXL),N/A,N/A
IB,142,IB 370 MUXR RAW > REFERENCE+655 OR IB 370 MUXR RAW < REFERENCE-655,N/A,DO MESSAGE 69277 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 69277: VIB:CCB26 +ve Current  changed by > 655 (IB 370 MUXR),N/A,N/A
IB,143,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IB,144,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IB,145,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IB,146,IB 0 REG RAW != PREVIOUS,N/A,DO MESSAGE 5700,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 5700: ISIS beamline misc status,N/A,N/A
IB,147,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IB,148,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IB,149,IB 55 REG RAW != PREVIOUS,N/A,DO MESSAGE 13150,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13150: Wire Scanner Motion Reg#1,N/A,N/A
IB,150,IB 56 REG RAW != PREVIOUS,N/A,DO MESSAGE 13175,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13175: Wire Scanner Motion Reg#2,N/A,N/A
IB,151,IB 57 REG RAW != PREVIOUS,N/A,DO MESSAGE 13200,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13200: Wire Scanner Motion Reg#3,N/A,N/A
IB,152,IB 60 REG RAW != PREVIOUS,N/A,DO MESSAGE 13225,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13225: Wire Scanner Motion Reg#4,N/A,N/A
IB,153,IB 61 REG RAW != PREVIOUS,N/A,DO MESSAGE 14525,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 14525: ISIS slit 125-T/B motor status,N/A,N/A
IB,154,IB 62 REG RAW != PREVIOUS,N/A,DO MESSAGE 20050,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 20050: ISIS slit 125-E/W motor status,N/A,N/A
IB,155,IB 63 REG RAW != PREVIOUS,N/A,DO MESSAGE 35700,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 35700: ISIS slit 126-T/B motor status,N/A,N/A
IB,156,IB 64 REG RAW != PREVIOUS,N/A,DO MESSAGE 35725,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 35725: ISIS slit 126-E/W motor status,N/A,N/A
IB,157,IB 65 REG RAW != PREVIOUS,N/A,DO MESSAGE 36275,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 36275: ISIS slit 146-T/B motor status,N/A,N/A
IB,158,IB 66 REG RAW != PREVIOUS,N/A,DO MESSAGE 36300,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 36300: ISIS slit 146-E/W motor status,N/A,N/A
IB,159,IB 67 REG RAW != PREVIOUS,N/A,DO MESSAGE 36325,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 36325: ISIS slit 166-T/B motor status,N/A,N/A
IB,160,IB 32 REG RAW != PREVIOUS,N/A,DO MESSAGE 33975,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 33975: ISIS Beamstops Readback,N/A,N/A
IB,161,IB 296 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 37075,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 37075: Bend 3 top HV relay,N/A,N/A
IB,162,IB 297 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 37100,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 37100: Bend 3 bottom HV relay,N/A,N/A
IB,163,IB 298 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 37125,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 37125: Bend 4 top HV relay,N/A,N/A
IB,164,IB 299 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 37150,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 37150: Bend 4 bottom HV relay,N/A,N/A
IB,165,IB 373 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 24475,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 24475: Crane warning light,N/A,N/A
