,Text,Thumbwheel,XT Page,Keyword
996,"BL1A RAD. MON. 56 DEFEATED STATUS, BL1A RAD. MON. 56 TRIP STATUS, BL1A RAD. MON. 56 WARNING STATUS",SF 70 REG,1R,Safety
997,BL1A RAD. MON. 56 MUX,SF 70 MUX,1R,Safety
998,"SAFETY CRITICAL RAD. MON. 43 DEFEATED STATUS, SAFETY CRITICAL RAD. MON. 43 TRIP STATUS, SAFETY CRITICAL RAD. MON. 43 WARNING STATUS",SF 53 REG,1R,Safety
999,SAFETY CRITICAL RAD. MON. 43 MUX,SF 53 MUX,1R,Safety
1000,"BL1B RAD. MON. 42 DEFEATED STATUS, BL1B RAD. MON. 42 TRIP STATUS, BL1B RAD. MON. 42 WARNING STATUS",SF 52 REG,1R,Safety
1001,BL1B RAD. MON. 42 MUX,SF 52 MUX,1R,Safety
1002,"SAFETY CRITICAL RAD. MON. 44 DEFEATED STATUS, SAFETY CRITICAL RAD. MON. 44 TRIP STATUS, SAFETY CRITICAL RAD. MON. 44 WARNING STATUS",SF 54 REG,1R,Safety
1003,SAFETY CRITICAL RAD. MON. 44 MUX,SF 54 MUX,1R,Safety
1004,"SAFETY RADIATION MONITORS, SAFETY RADIATION MONITORS WATCHDOG",SF 440 MUX,"1R, MNW1",Safety
1005,"M20VA5 GATE VALVE STATUS, M20VA5 WINDOW VALVE STATUS, M20VA6 GATE VALVE STATUS, M20VA6 WINDOW VALVE STATUS",V1 0 REG,1S,Beamline 1 Vacuum
1006,M20VA2B STATUS,V1 32 DIGI,1S,Beamline 1 Vacuum
1007,M13VA2 STATUS,V1 35 DIGI,1S,Beamline 1 Vacuum
1008,M20VA4 STATUS,V1 33 DIGI,1S,Beamline 1 Vacuum
1009,"M13VA1 GATE VALVE STATUS, M13VW1 WINDOW VALVE STATUS",V1 1 REG,1S,Beamline 1 Vacuum
1010,M11VA2 STATUS,V1 51 DIGI,1S,Beamline 1 Vacuum
1011,M20VA2 STATUS,V1 31 DIGI,1S,Beamline 1 Vacuum
1012,M11VA1 STATUS,V1 50 DIGI,1S,Beamline 1 Vacuum
1013,M20VA1 STATUS,V1 30 DIGI,1S,Beamline 1 Vacuum
1014,"T1 PROTECT MONITOR TRIP SUMMARY STATUS, T1 TRIP STATUS SUMMARY",TG 10 REG,"1T, 6A, DTT",Targets
1015,"T2 PROTECT MONITOR TRIP SUMMARY STATUS, T2 TRIP STATUS SUMMARY",TG 20 REG,"1T, 6B, DTT",Targets
1016,"TNF PROTECT MONITOR TRIP SUMMARY STATUS, TNF TRIP STATUS SUMMARY",TG 37 REG,"1T, 6C, DTT",Targets
1017,"1AT2 TOP, T2 PROTECT MONITOR TOP PLATE, T2 SUMMARY I/L - UP PLATE",B1 160 MUXT,"1T, 1U, 6B, DTT",Beamline 1
1018,"T1 PROTECT MONITOR TOP PLATE - TRIP LIMIT, T1 SUMMARY I/L - UP PLATE TRIP LIMIT, T1 TOP PLATE TRIP LIMIT",B1 410 MUX,"1T, 6A, DTT",Beamline 1
1019,"T2 PROTECT MONITOR TOP PLATE - TRIP LIMIT, T2 SUMMARY I/L - UP PLATE TRIP LIMIT, T2 TOP PLATE TRIP LIMIT",B1 420 MUX,"1T, 6B, DTT",Beamline 1
1020,"1AT2 LEFT, T2 PROTECT MONITOR LEFT PLATE, T2 SUMMARY I/L - LEFT PLATE",B1 160 MUXL,"1T, 1U, 6B, DTT",Beamline 1
1021,"1AT2 RIGHT, T2 PROTECT MONITOR RIGHT PLATE, T2 SUMMARY I/L - RIGHT PLATE",B1 160 MUXR,"1T, 1U, 6B, DTT",Beamline 1
1022,"T1 LEFT PLATE TRIP LIMIT, T1 PROTECT MONITOR LEFT PLATE - TRIP LIMIT, T1 SUMMARY I/L - LEFT PLATE TRIP LIMIT",B1 412 MUX,"1T, 6A, DTT",Beamline 1
1023,"T1 PROTECT MONITOR RIGHT PLATE - TRIP LIMIT, T1 RIGHT PLATE TRIP LIMIT, T1 SUMMARY I/L - RIGHT PLATE TRIP LIMIT",B1 413 MUX,"1T, 6A, DTT",Beamline 1
1024,"T2 LEFT PLATE TRIP LIMIT, T2 PROTECT MONITOR LEFT PLATE - TRIP LIMIT, T2 SUMMARY I/L - LEFT PLATE TRIP LIMIT",B1 422 MUX,"1T, 6B, DTT",Beamline 1
1025,"T2 PROTECT MONITOR RIGHT PLATE - TRIP LIMIT, T2 RIGHT PLATE TRIP LIMIT, T2 SUMMARY I/L - RIGHT PLATE TRIP LIMIT",B1 423 MUX,"1T, 6B, DTT",Beamline 1
1026,"1AT2 BOTTOM, T2 PROTECT MONITOR BOTTOM PLATE, T2 SUMMARY I/L - DOWN PLATE",B1 160 MUXB,"1T, 1U, 6B, DTT",Beamline 1
1027,"T1 DOWN PLATE TRIP LIMIT, T1 PROTECT MONITOR BOTTOM PLATE - TRIP LIMIT, T1 SUMMARY I/L - DOWN PLATE TRIP LIMIT",B1 411 MUX,"1T, 6A, DTT",Beamline 1
1028,"T2 DOWN PLATE TRIP LIMIT, T2 PROTECT MONITOR BOTTOM PLATE - TRIP LIMIT, T2 SUMMARY I/L - DOWN PLATE TRIP LIMIT",B1 421 MUX,"1T, 6B, DTT",Beamline 1
1029,"T1 PROTECT MONITOR SUM (U+D), T1 SUM (U+D), T1 U+D",B1 141 MUX,"1T, 6A, DTT",Beamline 1
1030,"T2 PROTECT MONITOR SUM (L+R+U+D), T2 SUM",B1 161 MUX,"1T, 6B, DTT",Beamline 1
1031,"TNF ABS(L-R), TNF SUMMARY I/L - |LEFT-RIGHT|",B1 176 MUX,"1T, 6C, DTT",Beamline 1
1032,"TNF ABS(L-R) - TRIP LIMIT, TNF SUMMARY I/L - |LEFT-RIGHT| TRIP LIMIT, TNF |L-R| TRIP LIMIT",B1 430 MUX,"1T, 6C, DTT",Beamline 1
1033,"T1 PROTECT MONITOR TOTAL PLATE, T1 TOTAL",B1 142 MUX,"1T, 6A, DTT",Beamline 1
1034,"T2 PROTECT MONITOR TOTAL PLATE, T2 TOTAL",B1 162 MUX,"1T, 6B, DTT",Beamline 1
1035,"TNF ABS(D-U), TNF SUMMARY I/L - |DOWN-UP|",B1 177 MUX,"1T, 6C, DTT",Beamline 1
1036,"TNF ABS(D-U) - TRIP LIMIT, TNF SUMMARY I/L - |DOWN-UP| TRIP LIMIT, TNF |D-U| TRIP LIMIT",B1 431 MUX,"1T, 6C, DTT",Beamline 1
1037,"T1 SUMMARY I/L - (U+D)/TOTAL, T1 U+D/T, T1 U+D/TOTAL",B1 143 MUX,"1T, 6A, DTT",Beamline 1
1038,"T1 (U+D)/TOTAL TRIP LIMIT, T1 SUMMARY I/L - (U+D)/TOTAL TRIP LIMIT, T1 U+D/TOTAL - TRIP LIMIT",B1 414 MUX,"1T, 6A, DTT",Beamline 1
1039,"T2 (T-S), T2 SUMMARY I/L - TOTAL-SUM",B1 163 MUX,"1T, 6B, DTT",Beamline 1
1040,"T2 (T-S) - TRIP LIMIT, T2 (T-S) TRIP LIMIT, T2 SUMMARY I/L - TOTAL-SUM TRIP LIMIT",B1 424 MUX,"1T, 6B, DTT",Beamline 1
1041,"TNF HALO, TNF SUMMARY I/L - HALO",B1 174 MUX,"1T, 6C, DTT",Beamline 1
1042,"TNF HALO - TRIP LIMIT, TNF HALO TRIP LIMIT, TNF SUMMARY I/L - HALO TRIP LIMIT",B1 433 MUX,"1T, 6C, DTT",Beamline 1
1043,"T1 HALO (1AM7), T1 SUMMARY I/L - 1AM7 HALO",B1 107 MUX,"1T, 6A, DTT",Beamline 1
1044,"T1 HALO (1AM7) - TRIP LIMIT, T1 HALO (1AM7) TRIP LIMIT, T1 SUMMARY I/L - 1AM7 HALO TRIP LIMIT",B1 415 MUX,"1T, 6A, DTT",Beamline 1
1045,"T2 HALO, T2 SUMMARY I/L - HALO",B1 164 MUX,"1T, 6B, DTT",Beamline 1
1046,"T2 HALO - TRIP LIMIT, T2 HALO TRIP LIMIT, T2 SUMMARY I/L - HALO TRIP LIMIT",B1 425 MUX,"1T, 6B, DTT",Beamline 1
1047,"TNF SUMMARY I/L - TOTAL PLATE, TNF TOTAL, TNF TOTAL CURRENT",B1 172 MUX,"1T, 63, 6C, DTT",Beamline 1
1048,"TNF SUMMARY I/L - TOTAL PLATE TRIP LIMIT, TNF TOTAL - TRIP LIMIT, TNF TOTAL TRIP LIMIT",B1 434 MUX,"1T, 6C, DTT",Beamline 1
1049,"T1 BIAS, T1 HV BIAS, T1 SUMMARY I/L - T1 HV BIAS",B1 215 MUX,"1T, 6A, DTT",Beamline 1
1050,"T1 BIAS TRIP LIMIT, T1 HV BIAS - TRIP LIMIT, T1 SUMMARY I/L - T1 HV BIAS LOW TRIP LIMIT",B1 416 MUX,"1T, 6A, DTT",Beamline 1
1051,"T2 BIAS, T2 SUMMARY I/L - T2 HV BIAS",B1 216 MUX,"1T, 6B, DTT",Beamline 1
1052,"T2 BIAS TRIP LIMIT, T2 HV BIAS - TRIP LIMIT, T2 SUMMARY I/L - T2 HV BIAS LOW TRIP LIMIT",B1 426 MUX,"1T, 6B, DTT",Beamline 1
1053,"TNF DENSITY, TNF PROTECT MONITOR DENSITY PLATE",B1 171 MUX,"1T, 6C, DTT",Beamline 1
1054,"TNF ABS(DENSITY-TOTAL), TNF SUMMARY I/L - |DENS-TOTAL|",B1 173 MUX,"1T, 6C, DTT",Beamline 1
1055,"TNF ABS(DENSITY-TOTAL) - TRIP LIMIT, TNF SUMMARY I/L - |DENS-TOTAL| TRIP LIMIT, TNF |DENS-T| TRIP LIMIT",B1 432 MUX,"1T, 6C, DTT",Beamline 1
1056,"TNF BIAS, TNF SUMMARY I/L - TNF HV BIAS",B1 217 MUX,"1T, 6C, DTT",Beamline 1
1057,"TNF BIAS - TRIP LIMIT, TNF BIAS TRIP LIMIT, TNF SUMMARY I/L - TNF HV BIAS TRIP LIMIT",B1 435 MUX,"1T, 6C, DTT",Beamline 1
1058,M15 FLUX RATE,B1 305 MUX,"1T, 1U, DTT",Beamline 1
1059,M20A FLUX RATE,B1 313 MUX,"1T, 1U, DTT",Beamline 1
1060,"TNF NEUTRON FLUX RATE, TNF NEUTRON MONITOR RATE",B1 310 MUX,"1T, 1U, DTT",Beamline 1
1061,"T1 PROTECT MONITOR PROCESS, T1 TARGET PROTECT TRANSFER PROCESS WATCHDOG",B1 199 MUX,"1T, 6A, DTT, MNW",Beamline 1
1062,"T2 PROTECT MONITOR PROCESS, T2 TARGET PROTECT TRANSFER PROCESS WATCHDOG",B1 290 MUX,"1T, 6B, DTT, MNW",Beamline 1
1063,"TNF PROTECT MONITOR PROCESS, TNF TARGET PROTECT TRANSFER PROCESS WATCHDOG",B1 299 MUX,"1T, 6C, DTT, MNW",Beamline 1
1064,TOROID 2 CURRENT,B1 122 MUX,1U,Beamline 1
1065,1AM10 TOROID CURRENT,B1 126 MUX,1U,Beamline 1
1066,CERENKOV A RATE,B1 301 MUX,1U,Beamline 1
1067,T2 SEM RATE,B1 307 MUX,1U,Beamline 1
1068,T1 ION CH. RATE,B1 302 MUX,1U,Beamline 1
1069,M9A FLUX RATE,B1 311 MUX,1U,Beamline 1
1070,1B FRONT ION CHAMBER RATE,B1 304 MUX,1U,Beamline 1
1071,M9B FLUX RATE,B1 312 MUX,1U,Beamline 1
1072,CERENKOV B RATE,B1 306 MUX,1U,Beamline 1
1073,M20B FLUX RATE,B1 314 MUX,1U,Beamline 1
1074,"BL1 CHANNEL RATES, TRIMAC WATCHDOG COUNTER",B1 300 MUX,"1U, MNW1",Beamline 1
1075,"1VVF2, 1VVF2 STATUS, 1VVR1 STATUS, 2AVVR1 STATUS, 4VVF2, X1 CONVECTRON GAUGE 1 OK",V1 10 REG,"1V, 1VV, 1W, 29B20, 2AVV, TV1, TVX1",Beamline 1 Vacuum
1076,1VVA4 STATUS,V1 3 DIGI,"1V, 1W",Beamline 1 Vacuum
1077,1VVA4.5 STATUS,V1 4 DIGI,"1V, 1W",Beamline 1 Vacuum
1078,1VVA5 STATUS,V1 5 DIGI,"1V, 1W",Beamline 1 Vacuum
1079,1VVA3.5,V1 2 DIGI,1V,Beamline 1 Vacuum
1080,1AVA6 STATUS,V1 6 DIGI,1V,Beamline 1 Vacuum
1081,1AWVA1 STATUS,V1 17 DIGI,1V,Beamline 1 Vacuum
1082,1AVA8 STATUS,V1 10 DIGI,1V,Beamline 1 Vacuum
1083,1AWVA2 STATUS,V1 11 DIGI,1V,Beamline 1 Vacuum
1084,1AVA11 STATUS,V1 12 DIGI,1V,Beamline 1 Vacuum
1085,1AVA7 STATUS,V1 7 DIGI,1V,Beamline 1 Vacuum
1086,1AVA6.5 STATUS,V1 13 DIGI,1V,Beamline 1 Vacuum
1087,"V2 (TNF TARGET VACUUM) VALUE, V2 - TARGET VACCUM, V2 - TARGET VACUUM",TG 45 MUX,"1V, 63, 6V",Targets
1088,BPV STATUS,TG 71 REG,1V,Targets
1089,1AVA12 STATUS,V1 16 DIGI,1V,Beamline 1 Vacuum
1090,"0464 POWER STATUS, DPS - DIFFERENTIAL PRESSURE SWITCH, GV - GATE VALVE, LIQS - LIQUID SPILL DETECTOR, TARF - TARGET FLOW, TNF GATE VALVE STATUS, TNF SUMMARY - TRIP STATUS, TNF SUMMARY - WARN STATUS, VBYP - T2/TNF VACUUM BYPASS, VP - VACCUM PUMP, WINF - 1AW2 WINDOW FLOW, WP - WATER PUMP",TG 60 REG,"1V, 63, 6U, 6V",Targets
1091,"V1 (TNF PUMP VACUUM) VALUE, V1 - PUMP VACUUM",TG 44 MUX,"1V, 6V",Targets
1092,"VALVE OPEN STATUS IN DIALOG BOX (DIGI CLASS 5), VALVE OPEN STATUS IN DIALOG BOX (DIGI CLASS 5A)",V1 0 DIGI,"1V, 1W",Beamline 1 Vacuum
1093,COIL 1 TRIM PS DAC (AMPS),B1 86 DAC        78,1VQ5,Beamline 1
1094,COIL 1 TRIM PS VOLTAGE,B1 86 MUXR,1VQ5,Beamline 1
1095,COIL 2 TRIM PS DAC (AMPS),B1 87 DAC        78,1VQ5,Beamline 1
1096,COIL 2 TRIM PS VOLTAGE,B1 87 MUXR,1VQ5,Beamline 1
1097,COIL 3 TRIM PS DAC (AMPS),B1 88 DAC        78,1VQ5,Beamline 1
1098,COIL 3 TRIM PS VOLTAGE,B1 88 MUXR,1VQ5,Beamline 1
1099,COIL 4 TRIM PS DAC (AMPS),B1 89 DAC        78,1VQ5,Beamline 1
1100,COIL 4 TRIM PS VOLTAGE,B1 89 MUXR,1VQ5,Beamline 1
1101,1VQ5 PS CURRENT,B1 15 MUXL,1VQ5,Beamline 1
1102,1VQ5 PS VOLTAGE,B1 15 MUXR,1VQ5,Beamline 1
1103,1VQ5 HORIZONTAL STEERING SETTING,B1 54 DAC,1VQ5,Beamline 1
1104,1VQ5 HORIZONTAL STEERING READBACK,B1 54 MUX,1VQ5,Beamline 1
1105,1VQ5 VERTICAL STEERING SETTING,B1 55 DAC,1VQ5,Beamline 1
1106,1VQ5 VERTICAL STEERING READBACK,B1 55 MUX,1VQ5,Beamline 1
1107,1VQ5 QUAD FOCUSING SETTING,B1 49 DAC,1VQ5,Beamline 1
1108,1VQ5 QUAD FOCUSING READBACK,B1 49 MUX,1VQ5,Beamline 1
1109,"BG1 PRESSURE OK, BG2 PRESSURE OK, BG3 PRESSURE OK, BG4 PRESSURE OK, BG5 PRESSURE OK, QMS PRESSURE OK, ROUGH VACUUM OK, TANK HIGH VACUUM OK, TANK PRESSURE OK, TURBO PRESSURE OK",TV 20 REG,"1VV, 2AVV, 4VV, TVC1, TVC2, TVC3, TVC4, TVC5, TVC6, TVR2, TVTN, TVX1, TVX2A, TVX4",Tank Vacuum
1110,1BVA6 STATUS,V1 42 DIGI,1W,Beamline 1 Vacuum
1111,ABSOLUTE ENCODER X1R POSITION,TK 286 MUX,1X,Tank
1112,ABSOLUTE ENCODER X1L POSITION,TK 285 MUX,1X,Tank
1113,ABSOLUTE ENCODER X1Z POSITION,TK 284 MUX,1X,Tank
1114,"EXT. PROBE 1 R - OUT (-VE LMT), EXTR 1 R (CAL) STATUS, EXTR 1 R (ERROR) STATUS, EXTR 1 R (IN) STATUS, EXTR 1 R (MOTION) STATUS, EXTR 1 R (ON) STATUS, EXTR 1 R (OUT: -LMT) STATUS, EXTR 1 R (POS = DEST) STATUS",TK 236 DIGI,"1X, 83",Tank
1115,"EXT. PROBE 1 L - IN (== @0), EXTR 1 L (CAL) STATUS, EXTR 1 L (ERROR) STATUS, EXTR 1 L (IN) STATUS, EXTR 1 L (MOTION) STATUS, EXTR 1 L (ON) STATUS, EXTR 1 L (OUT) STATUS, EXTR 1 L (POS = DEST) STATUS",TK 235 DIGI,"1X, 83",Tank
1116,"EXT. PROBE 1 Z - IN (== DOWN), EXTR 1 Z (CAL) STATUS, EXTR 1 Z (ERROR) STATUS, EXTR 1 Z (IN) STATUS, EXTR 1 Z (MOTION) STATUS, EXTR 1 Z (ON) STATUS, EXTR 1 Z (OUT) STATUS, EXTR 1 Z (POS = DEST) STATUS",TK 234 DIGI,"1X, 83",Tank
1117,EXTR 1 R (SELECT) STATUS,TK 236 DAC       12,"1X, 83",Tank
1118,EXTR 1 L (SELECT) STATUS,TK 235 DAC       12,"1X, 83",Tank
1119,EXTR 1 Z (SELECT) STATUS,TK 234 DAC       12,"1X, 83",Tank
1120,"EXT 1 GV, EXT. PROBE 1 Z - POS = DESTINATION, EXTRACTOR 1 VERTICAL AT 0 (DOWN), TROLLEY POSITION - DATA IS COMPLEMENTED",TK 2 REG,"1X, 29B20, 84",Tank
1121,CURRENT INJECTOR,TK 166 DIGI,1X,Tank
1122,"IPA READY, POWER AMPLIFIER 1",RF 0 REG,"21, 23",Radio Frequency
1123,PA1 - AIR,RF 1 REG,22,Radio Frequency
1124,PA3 - AIR,RF 2 REG,22,Radio Frequency
1125,CROWBAR STATUS - HVPS OUTPUT,RF 81 REG,23,Radio Frequency
1126,IPA - AIR,RF 3 REG,23,Radio Frequency
1127,CROWBAR COUNTER,RF 81 MUX,23,Radio Frequency
1128,MODULE ARMED/NOT ARMED,RF 5 REG,24,Radio Frequency
1129,CONTROL SYSTEM O/P,RF 4 REG,24,Radio Frequency
1130,HVPS VOLTAGE,RF 3 MUXL,25,Radio Frequency
1131,HVPS CURRENT,RF 3 MUXR,25,Radio Frequency
1132,THYRATRON PLATE VOLTAGE,RF 5 MUX,25,Radio Frequency
1133,IPA DRIVER FILAMENT VOLTAGE,RF 65 MUXL,25,Radio Frequency
1134,IPA DRIVER BIAS VOLTAGE,RF 67 MUXL,25,Radio Frequency
1135,IPA DRIVER GRID CURRENT,RF 67 MUXR,25,Radio Frequency
1136,IPA DRIVER SCREEN VOLTAGE,RF 66 MUXL,25,Radio Frequency
1137,IPA DRIVER SCREEN CURRENT,RF 66 MUXR,25,Radio Frequency
1138,IPA DRIVER CATHODE CURRENT,RF 68 MUXR,25,Radio Frequency
1139,IPA DRIVER PLATE VOLTAGE,RF 68 MUXL,25,Radio Frequency
1140,IPA DRIVER POWER EFFICIENCY %,RF 850 MUX,25,Radio Frequency
1141,IPA GRID CURRENT,RF 62 MUX,25,Radio Frequency
1142,IPA SCREEN CURRENT,RF 61 MUX,25,Radio Frequency
1143,IPA CATHODE CURRENT,RF 63 MUXR,25,Radio Frequency
1144,IPA PLATE VOLTAGE,RF 63 MUXL,25,Radio Frequency
1145,IPA POWER EFFICIENCY %,RF 851 MUX,25,Radio Frequency
1146,"IPA F, IPA OUTPUT POWER",RF 800 MUXL,"25, 2PA",Radio Frequency
1147,PA1 V1 - FILAMENT VOLTAGE,RF 10 MUXL,25,Radio Frequency
1148,PA1 V1 - FILAMENT CURRENT,RF 10 MUXR,25,Radio Frequency
1149,PA1 V1 - BIAS VOLTAGE,RF 12 MUXL,25,Radio Frequency
1150,PA1 V1 - GRID CURRENT,RF 12 MUXR,25,Radio Frequency
1151,PA1 V1 - SCREEN VOLTAGE,RF 11 MUXL,25,Radio Frequency
1152,PA1 V1 - SCREEN CURRENT,RF 11 MUXR,25,Radio Frequency
1153,PA1 V1 - CATHODE CURRENT,RF 13 MUXR,25,Radio Frequency
1154,PA1 - OUTPUT EFFICIENCY %,RF 852 MUX,25,Radio Frequency
1155,"PA1 - OUTPUT POWER, PA1 OUTPUT - F",RF 810 MUXL,"25, 2PA",Radio Frequency
1156,PA1 V2 - FILAMENT VOLTAGE,RF 10 MUXT,25,Radio Frequency
1157,PA1 V2 - FILAMENT CURRENT,RF 10 MUXB,25,Radio Frequency
1158,PA1 V2 - GRID CURRENT,RF 12 MUXB,25,Radio Frequency
1159,PA1 V2 - SCREEN VOLTAGE,RF 11 MUXT,25,Radio Frequency
1160,PA1 V2 - SCREEN CURRENT,RF 11 MUXB,25,Radio Frequency
1161,PA1 V2 - CATHODE CURRENT,RF 13 MUXB,25,Radio Frequency
1162,PA2 V1 - FILAMENT VOLTAGE,RF 20 MUXL,25,Radio Frequency
1163,PA2 V1 - FILAMENT CURRENT,RF 20 MUXR,25,Radio Frequency
1164,PA2 V1 - BIAS VOLTAGE,RF 22 MUXL,25,Radio Frequency
1165,PA2 V1 - GRID CURRENT,RF 22 MUXR,25,Radio Frequency
1166,PA2 V1 - SCREEN VOLTAGE,RF 21 MUXL,25,Radio Frequency
1167,PA2 V1 - SCREEN CURRENT,RF 21 MUXR,25,Radio Frequency
1168,PA2 V1 - CATHODE CURRENT,RF 23 MUXR,25,Radio Frequency
1169,PA2 - OUTPUT EFFICIENCY %,RF 853 MUX,25,Radio Frequency
1170,"PA2 - OUTPUT POWER, PA2 OUTPUT - F",RF 812 MUXL,"25, 2PA",Radio Frequency
1171,PA2 V2 - FILAMENT VOLTAGE,RF 20 MUXT,25,Radio Frequency
1172,PA2 V2 - FILAMENT CURRENT,RF 20 MUXB,25,Radio Frequency
1173,PA2 V2 - GRID CURRENT,RF 22 MUXB,25,Radio Frequency
1174,PA2 V2 - SCREEN VOLTAGE,RF 21 MUXT,25,Radio Frequency
1175,PA2 V2 - SCREEN CURRENT,RF 21 MUXB,25,Radio Frequency
1176,PA2 V2 - CATHODE CURRENT,RF 23 MUXB,25,Radio Frequency
1177,PA3 V1 - FILAMENT VOLTAGE,RF 30 MUXL,25,Radio Frequency
1178,PA3 V1 - FILAMENT CURRENT,RF 30 MUXR,25,Radio Frequency
1179,PA3 V1 - BIAS VOLTAGE,RF 32 MUXL,25,Radio Frequency
1180,PA3 V1 - GRID CURRENT,RF 32 MUXR,25,Radio Frequency
1181,PA3 V1 - SCREEN VOLTAGE,RF 31 MUXL,25,Radio Frequency
1182,PA3 V1 - SCREEN CURRENT,RF 31 MUXR,25,Radio Frequency
1183,PA3 V1 - CATHODE CURRENT,RF 33 MUXR,25,Radio Frequency
1184,PA3 - OUTPUT EFFICIENCY %,RF 854 MUX,25,Radio Frequency
1185,"PA3 - OUTPUT POWER, PA3 OUTPUT - F",RF 814 MUXL,"25, 2PA",Radio Frequency
1186,PA3 V2 - FILAMENT VOLTAGE,RF 30 MUXT,25,Radio Frequency
1187,PA3 V2 - FILAMENT CURRENT,RF 30 MUXB,25,Radio Frequency
1188,PA3 V2 - GRID CURRENT,RF 32 MUXB,25,Radio Frequency
1189,PA3 V2 - SCREEN VOLTAGE,RF 31 MUXT,25,Radio Frequency
1190,PA3 V2 - SCREEN CURRENT,RF 31 MUXB,25,Radio Frequency
1191,PA3 V2 - CATHODE CURRENT,RF 33 MUXB,25,Radio Frequency
1192,PA4 V1 - FILAMENT VOLTAGE,RF 40 MUXL,25,Radio Frequency
1193,PA4 V1 - FILAMENT CURRENT,RF 40 MUXR,25,Radio Frequency
1194,PA4 V1 - BIAS VOLTAGE,RF 42 MUXL,25,Radio Frequency
1195,PA4 V1 - GRID CURRENT,RF 42 MUXR,25,Radio Frequency
1196,PA4 V1 - SCREEN VOLTAGE,RF 41 MUXL,25,Radio Frequency
1197,PA4 V1 - SCREEN CURRENT,RF 41 MUXR,25,Radio Frequency
1198,PA4 V1 - CATHODE CURRENT,RF 43 MUXR,25,Radio Frequency
1199,PA4 - OUTPUT EFFICIENCY %,RF 855 MUX,25,Radio Frequency
1200,"PA4 - OUTPUT POWER, PA4 OUTPUT - F",RF 816 MUXL,"25, 2PA",Radio Frequency
1201,PA4 V2 - FILAMENT VOLTAGE,RF 40 MUXT,25,Radio Frequency
1202,PA4 V2 - FILAMENT CURRENT,RF 40 MUXB,25,Radio Frequency
1203,PA4 V2 - GRID CURRENT,RF 42 MUXB,25,Radio Frequency
1204,PA4 V2 - SCREEN VOLTAGE,RF 41 MUXT,25,Radio Frequency
1205,PA4 V2 - SCREEN CURRENT,RF 41 MUXB,25,Radio Frequency
1206,PA4 V2 - CATHODE CURRENT,RF 43 MUXB,25,Radio Frequency
1207,RFB IPA2 - FILAMENT VOLTAGE,RF 90 MUXL,25,Radio Frequency
1208,RFB IPA2 - FILAMENT CURRENT,RF 90 MUXR,25,Radio Frequency
1209,RFB IPA3 - FILAMENT VOLTAGE,RF 95 MUXL,25,Radio Frequency
1210,RFB IPA3 - FILAMENT CURRENT,RF 95 MUXR,25,Radio Frequency
1211,RFB PA - FILAMENT VOLTAGE,RF 50 MUXL,25,Radio Frequency
1212,RFB PA - FILAMENT CURRENT,RF 50 MUXR,25,Radio Frequency
1213,RFB PA - BIAS VOLTAGE,RF 52 MUXL,25,Radio Frequency
1214,RFB PA - BIAS CURRENT,RF 52 MUXR,25,Radio Frequency
1215,RFB PA - SCREENT CURRENT,RF 51 MUX,25,Radio Frequency
1216,RFB PA - CATHODE VOLTAGE,RF 53 MUXL,25,Radio Frequency
1217,RFB PA - CATHODE CURRENT,RF 53 MUXR,25,Radio Frequency
1218,RFB PA - ANODE VOLTAGE,RF 54 MUXL,25,Radio Frequency
1219,RFB PA - ANODE CURRENT,RF 54 MUXR,25,Radio Frequency
1220,"COMB #3 OUTPUT F, CYCLOTRON - F, PA POWER (FORWARD), PA POWER - F",RF 829 MUXL,"25, 27, 2PA, RFTX",Radio Frequency
1221,"CAVITY FREQUENCY, RF CAVITY FREQUENCY",ET 20 MUX,"26, RFPCV",Extra Thumbwheels
1222,"DEE VOLTAGE, DEE VOLTAGE (1ST FIELD SO DEFAULT FG & BG COLORS ARE SETUP PROPERLY), DEE VOLTAGE READBACK, RF DEE VOLTAGE READBACK",ET 25 MUX,"26, 27, 2DV, 2DV1, RFTX",Extra Thumbwheels
1223,SYNTHESIZER FREQUENCY,ET 21 MUX,26,Extra Thumbwheels
1224,DEE VOLTAGE SETPOINT,ET 26 DAC,26,Extra Thumbwheels
1225,FREQUENCY DIFFERENCE,ET 23 MUX,26,Extra Thumbwheels
1226,"DEE VOLTAGE PROBES AVG, RF DEE VOLTAGE AVERAGE",RF 679 MUX,"26, 2DV, 2DV1",Radio Frequency
1227,"RF ON/OFF STATE, RF ON/OFF STATUS",ET 25 DIGI,"26, RFPCV",Extra Thumbwheels
1228,"RF DRIVE STATE, RF DRIVEN STATUS",ET 24 DIGI,"26, RFPCV",Extra Thumbwheels
1229,CONTROL STATUS,ET 27 DIGI,26,Extra Thumbwheels
1230,TUNER ERROR (PHASE),ET 50 MUX,26,Extra Thumbwheels
1231,AMP PID (P),ET 30 MUX,26,Extra Thumbwheels
1232,AMP PID (I),ET 31 MUX,26,Extra Thumbwheels
1233,AMP PID (D),ET 32 MUX,26,Extra Thumbwheels
1234,AMP LIMIT,ET 33 MUX,26,Extra Thumbwheels
1235,AMP ERROR,ET 35 MUX,26,Extra Thumbwheels
1236,PHASE PID (P),ET 36 MUX,26,Extra Thumbwheels
1237,PHASE PID (I),ET 37 MUX,26,Extra Thumbwheels
1238,PHASE PID (D),ET 40 MUX,26,Extra Thumbwheels
1239,PHASE DRIVE,ET 42 MUX,26,Extra Thumbwheels
